task,dataset,method,method_id,cache_policy,cache_window_size,protocol,sampling_stride,prefix_frames,num_sequences,mean_acc,mean_acc_med,mean_comp,mean_comp_med,mean_nc,mean_nc_med,mean_overall,mean_final_frame_ms
static,eth3d,K8,k8,anchor_recent_dino_diverse_k8,8,dense,random_10,4,13,0.7575301248022771,0.5321407920985848,0.8769474993205102,0.47779012277422717,0.800927197694481,0.9350822460227965,0.8172388120613937,76.86459115835336
static,eth3d,Full cache,full_cache,full_cache,,dense,random_10,6,13,1.0788028724890784,0.8703650326604122,1.2793519698269622,0.7474151641120057,0.7888447683604922,0.9217296962669201,1.1790774211580204,100.30106823260968
static,eth3d,K4,k4,anchor_recent_dino_diverse_k4,4,dense,random_10,6,13,1.0754316150276944,0.8584031312376882,1.2307557740787518,0.6913626365712736,0.7917621317994785,0.9184582290896655,1.153093694553223,78.30103712815504
static,eth3d,K6,k6,anchor_recent_dino_diverse_k6,6,dense,random_10,6,13,1.0904271201893434,0.8744809720293957,1.2543117497369554,0.7098951345185985,0.7925576951851614,0.9236515605506281,1.1723694349631495,77.73907940204327
static,eth3d,K8,k8,anchor_recent_dino_diverse_k8,8,dense,random_10,6,13,1.0753820604137003,0.862118503971743,1.2762637574950264,0.7508313737140782,0.7892133709912126,0.9221365219048537,1.175822908954363,80.16429666372446
static,eth3d,Full cache,full_cache,full_cache,,dense,random_10,8,13,0.8470407043918051,0.6353894514581065,0.9615849739220668,0.4769106234987722,0.7887044095686,0.9160825931321803,0.9043128391569358,103.97273723895734
static,eth3d,K4,k4,anchor_recent_dino_diverse_k4,4,dense,random_10,8,13,0.9278386067711752,0.6744959127084473,1.035712406861052,0.5064789450323104,0.7815075677768485,0.9090423626065463,0.9817755068161136,77.8381118774414
static,eth3d,K6,k6,anchor_recent_dino_diverse_k6,6,dense,random_10,8,13,0.7938337557598002,0.6025563560781244,0.9938324317343662,0.46148098529121856,0.7800277038426591,0.9099403656460842,0.8938330937470832,82.45394721397987
static,eth3d,K8,k8,anchor_recent_dino_diverse_k8,8,dense,random_10,8,13,0.8465938989471657,0.6334808160722585,0.9607053685870343,0.4764673106423433,0.7874304569630246,0.9161006921422228,0.9036496337671001,96.0611319908729
static,eth3d,Full cache,full_cache,full_cache,,dense,random_10,10,13,0.7587073677273334,0.6072228256886347,0.7649594643536707,0.41795135632680996,0.8025109815602618,0.9385767032912116,0.7618334160405021,89.69192152756911
static,eth3d,K4,k4,anchor_recent_dino_diverse_k4,4,dense,random_10,10,13,0.8487757704601541,0.6566345538142281,0.9195944936967815,0.4802011754502634,0.7811935351202427,0.9259090610875624,0.8841851320784677,78.43414717454176
static,eth3d,K6,k6,anchor_recent_dino_diverse_k6,6,dense,random_10,10,13,0.7529425095907735,0.5936055791655035,0.7560637430143126,0.3970323884597858,0.7974050849499374,0.9362674084383866,0.7545031263025431,82.48542844332181
static,eth3d,K8,k8,anchor_recent_dino_diverse_k8,8,dense,random_10,10,13,0.7613477753702689,0.6180681017179813,0.76639302757521,0.4174440002826385,0.8031631064520817,0.9376623767236598,0.7638704014727395,112.38092803955078
static,nrgbd,Full cache,full_cache,full_cache,,dense,100,4,9,0.040507430008412205,0.027489343864647506,0.037036251017265584,0.020397986708275015,0.9006428292775005,0.9916025703203984,0.03877184051283889,74.15011596679688
static,nrgbd,K4,k4,anchor_recent_dino_diverse_k4,4,dense,100,4,9,0.04050745012383444,0.027489389562589426,0.03703626570017335,0.020397955279919406,0.9006425094150546,0.9916025800096953,0.038771857912003896,74.56290266248915
static,nrgbd,K6,k6,anchor_recent_dino_diverse_k6,6,dense,100,4,9,0.040507163474589346,0.027487785560650856,0.03703635389526436,0.020402990134725057,0.9006526423383,0.9916035562735261,0.03877175868492685,74.80447302924262
static,nrgbd,K8,k8,anchor_recent_dino_diverse_k8,8,dense,100,4,9,0.04050745148383114,0.027489401707360757,0.0370362635318783,0.020397905664976942,0.9006423667938515,0.99160257260925,0.03877185750785472,75.27184973822699
static,nrgbd,Full cache,full_cache,full_cache,,dense,100,6,8,0.08002006271390431,0.05445404314525462,0.059590898746228665,0.03227916752024131,0.827038827009997,0.9497930978026037,0.06980548073006648,77.00165748596191
static,nrgbd,K4,k4,anchor_recent_dino_diverse_k4,4,dense,100,6,8,0.08939849756100807,0.06438486610613957,0.07086501521286599,0.03752795170591165,0.8178556320486476,0.94571906350307,0.08013175638693702,78.06291675567627
