dataset,metric,better_direction,method_a,method_b,n_pairs,mean_a,mean_b,mean_advantage_a,advantage_ci95_low,advantage_ci95_high,wins_a,ties,losses_a,significance
kitti,delta_1,higher,Full cache,K6,13,0.7544207779260782,0.760578256386977,-0.006157478460898766,-0.09934824091883807,0.07192850915285257,9,0,4,NO_CLEAR_DIFFERENCE
kitti,inference_sec,lower,Full cache,K6,13,16.289244334461657,10.968049670923323,-5.321194663538336,-6.329747263472465,-4.1759550305532125,0,0,13,B_BETTER
kitti,peak_allocated_mb,lower,Full cache,K6,13,12013.224571814904,8177.876915564904,-3835.34765625,-4210.6873694786655,-3413.9366774338946,0,0,13,B_BETTER
kitti,abs_rel,lower,Full cache,K8,13,0.16083081370996868,0.18132779306324623,0.020496979353277545,0.004566274485116052,0.035008883235532536,11,0,2,A_BETTER
kitti,rmse,lower,Full cache,K8,13,4.9245426286597915,5.290152223598487,0.3656095949386978,0.12597750994280504,0.5978280673563088,11,0,2,A_BETTER
kitti,delta_1,higher,Full cache,K8,13,0.7544207779260782,0.7038664130064157,0.050554364919662476,-0.010606052038761285,0.10818752749608113,11,0,2,NO_CLEAR_DIFFERENCE
kitti,inference_sec,lower,Full cache,K8,13,16.289244334461657,11.277712728923339,-5.011531605538319,-6.020930487944266,-3.9207071183361295,0,0,13,B_BETTER
kitti,peak_allocated_mb,lower,Full cache,K8,13,12013.224571814904,8335.398888221154,-3677.82568359375,-4053.4029822716348,-3262.2249464768634,0,0,13,B_BETTER
kitti,abs_rel,lower,K4,K6,13,0.13075917920512523,0.15539956690250623,0.024640387697381035,0.015819237498604158,0.03355394742946202,12,0,1,A_BETTER
kitti,rmse,lower,K4,K6,13,4.245623709175397,4.736537174786709,0.490913465611312,0.340430077796846,0.639965978732004,13,0,0,A_BETTER
kitti,delta_1,higher,K4,K6,13,0.8365438672212454,0.760578256386977,0.07596561083426842,0.046776691652261296,0.10721921519591256,13,0,0,A_BETTER
kitti,inference_sec,lower,K4,K6,13,10.776490513153895,10.968049670923323,0.19155915776942634,0.13660812029132172,0.2587639696322185,13,0,0,A_BETTER
kitti,peak_allocated_mb,lower,K4,K6,13,8033.750863882212,8177.876915564904,144.12605168269232,142.02747051532452,145.88747652493993,13,0,0,A_BETTER
kitti,abs_rel,lower,K4,K8,13,0.13075917920512523,0.18132779306324623,0.050568613858120996,0.028039584008071976,0.07426566642382264,12,0,1,A_BETTER
kitti,rmse,lower,K4,K8,13,4.245623709175397,5.290152223598487,1.0445285144230914,0.619062084743421,1.4960234032081794,13,0,0,A_BETTER
kitti,delta_1,higher,K4,K8,13,0.8365438672212454,0.7038664130064157,0.13267745421482965,0.07524672471559964,0.1916644074595891,13,0,0,A_BETTER
kitti,inference_sec,lower,K4,K8,13,10.776490513153895,11.277712728923339,0.501222215769443,0.422959846586568,0.5926332513959726,13,0,0,A_BETTER
