dataset,sequence,method,method_id,random_seed,num_frames,abs_rel,rmse,delta_1,inference_sec,fps_inference,peak_allocated_mib,peak_reserved_mib
kitti,2011_09_26_drive_0079_sync_02,Random-4 (seed 1),random4_seed1,1,90,0.1984105871162224,6.015272157789039,0.6361836194992065,9.937389737926424,9.056704262741311,8093.625,10444.0
kitti,2011_09_26_drive_0079_sync_02,Random-4 (seed 2),random4_seed2,2,90,0.20766355825063473,6.35780100015409,0.6417306065559387,9.97466779104434,9.022856889610463,8093.625,10446.0
kitti,2011_09_26_drive_0095_sync_02,Full cache,full_cache,0,110,0.27733682773622037,6.042724971756229,0.42374229431152344,19.205707172000984,5.72746418628955,12637.97705078125,25358.0
kitti,2011_09_26_drive_0095_sync_02,Recent-4,recent4,0,110,0.07717578432617173,2.782727427770953,0.9704598188400269,11.962587201036513,9.19533526915222,8093.625,10446.0
kitti,2011_09_26_drive_0095_sync_02,Anchor+Recent-4,anchor_recent4,0,110,0.21436340694468872,5.001929620021299,0.6320709586143494,12.11658703489229,9.078464066096467,8093.625,10444.0
kitti,2011_09_26_drive_0095_sync_02,K4,k4,0,110,0.13583743033709955,3.711548239937497,0.8055696487426758,12.065561970997805,9.116856741891414,8093.64453125,10446.0
kitti,2011_09_26_drive_0095_sync_02,Uniform-4,anchor_uniform4,0,110,0.18003484640693898,4.469358804540009,0.7406318783760071,12.24368874100037,8.984220550432946,8093.625,10446.0
kitti,2011_09_26_drive_0095_sync_02,Random-4 (seed 0),random4_seed0,0,110,0.16654329535408177,4.167663309924369,0.7111300826072693,12.222330154152587,8.999920523553117,8093.625,10446.0
kitti,2011_09_26_drive_0095_sync_02,Random-4 (seed 1),random4_seed1,1,110,0.11740636195482991,3.200790990613189,0.8857221603393555,12.215979947941378,9.004598932608518,8093.625,10444.0
kitti,2011_09_26_drive_0095_sync_02,Random-4 (seed 2),random4_seed2,2,110,0.12653503817766315,3.335463327238637,0.8355896472930908,12.172226649941877,9.036966133104764,8093.625,10446.0
kitti,2011_09_26_drive_0113_sync_02,Full cache,full_cache,0,77,0.11909168184014834,5.3323928220508385,0.9016993641853333,11.408445855999162,6.749385584322105,11077.52587890625,25358.0
kitti,2011_09_26_drive_0113_sync_02,Recent-4,recent4,0,77,0.20228153343525795,5.78565301985755,0.6810147762298584,8.40214256499894,9.164329146325276,8036.1396484375,10446.0
kitti,2011_09_26_drive_0113_sync_02,Anchor+Recent-4,anchor_recent4,0,77,0.17898290732531175,5.281521890259792,0.7414183020591736,8.511987934820354,9.046065453759962,8036.1396484375,10444.0
kitti,2011_09_26_drive_0113_sync_02,K4,k4,0,77,0.14582216067371107,5.196024555221125,0.8247299194335938,8.36823015200207,9.2014677657471,8036.1591796875,10446.0
kitti,2011_09_26_drive_0113_sync_02,Uniform-4,anchor_uniform4,0,77,0.16310040900189457,5.224331104755503,0.7732851505279541,8.512470789952204,9.04555233139688,8036.1396484375,10446.0
kitti,2011_09_26_drive_0113_sync_02,Random-4 (seed 0),random4_seed0,0,77,0.13621600582270302,5.319423078186948,0.7914409041404724,8.573976384941489,8.980663876708995,8036.1396484375,10446.0
kitti,2011_09_26_drive_0113_sync_02,Random-4 (seed 1),random4_seed1,1,77,0.17126533830491647,5.47693778696844,0.6953584551811218,8.551759397843853,9.003995133377343,8036.1396484375,10444.0
kitti,2011_09_26_drive_0113_sync_02,Random-4 (seed 2),random4_seed2,2,77,0.1536204891432466,5.460852217497289,0.761712372303009,8.429354478837922,9.13474456357366,8036.1396484375,10446.0
kitti,2011_09_28_drive_0037_sync_02,Full cache,full_cache,0,79,0.10207843185164289,6.172648159633335,0.9019505977630615,11.923375287999079,6.62564065055587,11037.505859375,25358.0
kitti,2011_09_28_drive_0037_sync_02,Recent-4,recent4,0,79,0.19211261526650414,6.431071558906179,0.6256982684135437,8.626668256008998,9.157649008349395,7894.384765625,10446.0
kitti,2011_09_28_drive_0037_sync_02,Anchor+Recent-4,anchor_recent4,0,79,0.14590392371149322,6.857502541598129,0.8211936354637146,8.798893140163273,8.978402026431937,7894.384765625,10444.0
kitti,2011_09_28_drive_0037_sync_02,K4,k4,0,79,0.11960011194408596,6.458642237382921,0.8982560038566589,8.624847635997867,9.159582097459273,7894.404296875,10446.0
kitti,2011_09_28_drive_0037_sync_02,Uniform-4,anchor_uniform4,0,79,0.12201316683415588,6.791918579701132,0.8655269145965576,8.776968657039106,9.000829681286627,7894.384765625,10446.0
kitti,2011_09_28_drive_0037_sync_02,Random-4 (seed 0),random4_seed0,0,79,0.1184455055296533,6.6680629671169465,0.8926257491111755,8.762612688122317,9.015575926011673,7894.384765625,10446.0
kitti,2011_09_28_drive_0037_sync_02,Random-4 (seed 1),random4_seed1,1,79,0.14049698726700602,6.57559034518651,0.85590660572052,8.733290990116075,9.045845385136996,7894.384765625,10444.0
kitti,2011_09_28_drive_0037_sync_02,Random-4 (seed 2),random4_seed2,2,79,0.11104369519084811,6.283624609992573,0.8926299810409546,8.703380683902651,9.076932616094174,7894.384765625,10446.0
kitti,2011_09_29_drive_0026_sync_02,Full cache,full_cache,0,110,0.04712640836041846,2.3797732898900374,0.9802801012992859,19.368488273001276,5.679328115314741,12582.5625,25358.0
kitti,2011_09_29_drive_0026_sync_02,Recent-4,recent4,0,110,0.08074257864468476,2.9018069307689114,0.9407211542129517,12.219833374023438,9.00175940482419,8040.50732421875,10446.0
kitti,2011_09_29_drive_0026_sync_02,Anchor+Recent-4,anchor_recent4,0,110,0.0491917152517633,2.3593884433318606,0.9797161221504211,12.334142783889547,8.918333598641196,8040.50732421875,10444.0
kitti,2011_09_29_drive_0026_sync_02,K4,k4,0,110,0.04720591809380705,2.3128353759677003,0.9802618026733398,12.028244863002328,9.145141394514585,8040.52685546875,10446.0
kitti,2011_09_29_drive_0026_sync_02,Uniform-4,anchor_uniform4,0,110,0.0464296291150139,2.3445863053244898,0.9798605442047119,12.21509036491625,9.005254706583106,8040.50732421875,10446.0
kitti,2011_09_29_drive_0026_sync_02,Random-4 (seed 0),random4_seed0,0,110,0.06667593750109753,2.6652722338632193,0.9716163277626038,12.288204031065106,8.951674282255999,8040.50732421875,10446.0
kitti,2011_09_29_drive_0026_sync_02,Random-4 (seed 1),random4_seed1,1,110,0.10554716971729822,3.069935981593569,0.912776529788971,12.207000460010022,9.011222729151081,8040.50732421875,10444.0
kitti,2011_09_29_drive_0026_sync_02,Random-4 (seed 2),random4_seed2,2,110,0.10041738226971109,2.9814134029595887,0.9360557794570923,12.137614202918485,9.062736560991578,8040.50732421875,10446.0
kitti,2011_09_30_drive_0016_sync_02,Full cache,full_cache,0,110,0.2774281455202081,6.714605914989893,0.4210807979106903,19.12640993700188,5.751209995096592,12725.68212890625,25358.0
kitti,2011_09_30_drive_0016_sync_02,Recent-4,recent4,0,110,0.15609096525017954,3.8516260105323687,0.7672581076622009,12.033982086926699,9.140781430903091,8187.24462890625,10446.0
kitti,2011_09_30_drive_0016_sync_02,Anchor+Recent-4,anchor_recent4,0,110,0.19063346228881473,5.432707368789457,0.7344569563865662,12.106773929903284,9.085822584685758,8187.24462890625,10444.0
kitti,2011_09_30_drive_0016_sync_02,K4,k4,0,110,0.13641519224535184,3.785655167095188,0.8216588497161865,12.01872154100056,9.152387766431477,8187.26416015625,10446.0
kitti,2011_09_30_drive_0016_sync_02,Uniform-4,anchor_uniform4,0,110,0.16197555325589616,4.498111159765964,0.7733211517333984,12.207239173119888,9.011046514286207,8187.24462890625,10446.0
