dataset,sequence,method,method_id,cache_policy,cache_window_size,num_frames,valid_pixels,abs_rel,sq_rel,rmse,log_rmse,delta_1,delta_2,delta_3,inference_sec,fps_inference,peak_allocated_mib,peak_reserved_mib
kitti,2011_09_26_drive_0005_sync_02,K8,k8,anchor_recent_dino_diverse_k8,8,110,5903414,0.21070286384748405,1.3619355070016317,5.505003255449747,0.2591885135689442,0.6544749736785889,0.9343384504318237,0.984708845615387,13.113558378998277,8.38826478831009,8293.29833984375,10282.0
kitti,2011_09_26_drive_0013_sync_02,Full cache,full_cache,full_cache,,110,7668977,0.16661048453770552,0.8270988590755817,4.754058647705848,0.2038704365802727,0.7304067015647888,0.975390613079071,0.9973469972610474,19.160594266999396,5.740949287228256,12725.68212890625,25358.0
kitti,2011_09_26_drive_0013_sync_02,K4,k4,anchor_recent_dino_diverse_k4,4,110,7668977,0.1837036203840604,0.8719301661830993,4.971953861065778,0.21535638806374963,0.7167658805847168,0.9690621495246887,0.9974574446678162,12.354857489001006,8.903380722758497,8187.26416015625,10446.0
kitti,2011_09_26_drive_0013_sync_02,K6,k6,anchor_recent_dino_diverse_k6,6,110,7668977,0.24179079469023462,1.3389060968712214,5.9857271196883195,0.2687580534816439,0.5281401872634888,0.935438334941864,0.9950783848762512,12.716104520000954,8.6504479282144,8332.841796875,10444.0
kitti,2011_09_26_drive_0013_sync_02,K8,k8,anchor_recent_dino_diverse_k8,8,110,7668977,0.1881471106334906,1.0488862384220061,5.313540700772517,0.22885616287989483,0.6829749345779419,0.9457180500030518,0.997200071811676,12.722266243003105,8.646258292267461,8485.193359375,10410.0
kitti,2011_09_26_drive_0020_sync_02,Full cache,full_cache,full_cache,,76,2985374,0.09736996814819542,0.43502617328426224,3.918371361001928,0.14120701393128252,0.9190409779548645,0.9753893613815308,0.9975440502166748,11.273585815000843,6.74142205037132,11032.24658203125,25358.0
kitti,2011_09_26_drive_0020_sync_02,K4,k4,anchor_recent_dino_diverse_k4,4,76,2985374,0.08954473745022773,0.3644163627192188,3.669119356325534,0.12991786089255403,0.9212316870689392,0.9861207008361816,0.9982247352600098,8.310745512000722,9.144787298595048,8028.64794921875,10446.0
kitti,2011_09_26_drive_0020_sync_02,K6,k6,anchor_recent_dino_diverse_k6,6,76,2985374,0.09457585704280387,0.4050171125398295,3.8985646458365557,0.13701695260201868,0.9098625779151917,0.9831719994544983,0.9977249503135681,8.45724925399918,8.98637343153412,8172.4365234375,10444.0
kitti,2011_09_26_drive_0020_sync_02,K8,k8,anchor_recent_dino_diverse_k8,8,76,2985374,0.1056613870031111,0.43466970364533974,3.9397286125830915,0.1444862913814295,0.8898335695266724,0.984348714351654,0.9980146884918213,8.718429964999814,8.71716585498793,8329.2177734375,10410.0
kitti,2011_09_26_drive_0023_sync_02,Full cache,full_cache,full_cache,,110,7612228,0.21337925064818536,1.1672432144260962,5.6282759051467295,0.2589139742007162,0.5742128491401672,0.9535092711448669,0.9916810393333435,19.0853935740015,5.7635699035226695,12569.53369140625,25358.0
kitti,2011_09_26_drive_0023_sync_02,K4,k4,anchor_recent_dino_diverse_k4,4,110,7612228,0.1611949658888231,0.7354063248033037,4.7890414296891715,0.19993012443256833,0.7398703694343567,0.9784845113754272,0.9947488307952881,12.007392299998173,9.16102324732213,8028.64794921875,10446.0
kitti,2011_09_26_drive_0023_sync_02,K6,k6,anchor_recent_dino_diverse_k6,6,110,7612228,0.1976665079587775,1.040272817779176,5.430363553967105,0.24333572800391137,0.6011964082717896,0.9584257006645203,0.9926816821098328,12.181615042998601,9.030001326730698,8172.4365234375,10444.0
kitti,2011_09_26_drive_0023_sync_02,K8,k8,anchor_recent_dino_diverse_k8,8,110,7612228,0.2541065957562983,1.620835158280362,6.403675866118384,0.30898698452766776,0.4929260015487671,0.8385080099105835,0.988520085811615,12.752837533000275,8.625531354520522,8329.2177734375,10410.0
kitti,2011_09_26_drive_0036_sync_02,Full cache,full_cache,full_cache,,110,9429993,0.17301963562507397,0.7738277012282182,4.7207617935538275,0.20996167316179284,0.7866169214248657,0.9748930931091309,0.9947716593742371,19.104643198999838,5.757762594894141,12725.68212890625,25358.0
