dataset,method,metric,n_sequences,mean,median,std,ci95_low,ci95_high,aggregation
kitti,K8,delta_1,13,0.7038664130064157,0.6544749736785889,0.1630839746108055,0.6210455923126293,0.7918407239592993,unweighted_sequence_mean
kitti,K8,delta_2,13,0.936515578856835,0.9457180500030518,0.053860097554130834,0.9067787773334063,0.9631936595990108,unweighted_sequence_mean
kitti,K8,delta_3,13,0.9891407535626338,0.9912121295928955,0.009643624207196578,0.9838558678443616,0.9937543551509197,unweighted_sequence_mean
kitti,K8,inference_sec,13,11.277712728923339,12.455595511997672,1.8709940052847482,10.269515056948366,12.229271079929331,unweighted_sequence_mean
kitti,K8,fps_inference,13,8.644393689608352,8.71716585498793,0.25689704921188167,8.498069563159108,8.754106142882378,unweighted_sequence_mean
kitti,K8,peak_allocated_mb,13,8335.398888221154,8345.388671875,186.4490043085971,8225.170147235576,8416.01475454477,unweighted_sequence_mean
kitti,K8,peak_reserved_mb,13,10362.307692307691,10410.0,138.1058679753716,10276.76923076923,10410.0,unweighted_sequence_mean
sintel,Full cache,abs_rel,23,0.41759980469942093,0.24203194677829742,0.6424487338347074,0.22704362103958495,0.7075525750203622,unweighted_sequence_mean
sintel,Full cache,sq_rel,23,1.7379309307358672,0.6046729683876038,2.6221386750211444,0.7867961733366626,2.880559778034069,unweighted_sequence_mean
sintel,Full cache,rmse,23,4.330923000593549,3.547121286392212,4.693054146071775,2.582329805199381,6.303195402099062,unweighted_sequence_mean
sintel,Full cache,log_rmse,23,0.4115858291802199,0.318901926279068,0.3362624490208304,0.29044595440930643,0.5582283490134969,unweighted_sequence_mean
sintel,Full cache,delta_1,23,0.6309265014917954,0.7245372533798218,0.28790962124146385,0.5150628738753174,0.7434708839201408,unweighted_sequence_mean
sintel,Full cache,delta_2,23,0.7933795879716459,0.8586117029190063,0.2338592034294224,0.6908013261206772,0.8807009885492532,unweighted_sequence_mean
sintel,Full cache,delta_3,23,0.8727193092522414,0.9488372206687927,0.1961619669708885,0.7876848552376032,0.943523735391057,unweighted_sequence_mean
