dataset,sequence,method,method_id,cache_policy,cache_window_size,status,num_frames,ate,rpe_trans,rpe_rot_deg,align_scale,inference_sec,fps_inference,peak_allocated_mib,peak_reserved_mib
sintel,ambush_4,K4,k4,anchor_recent_dino_diverse_k4,4,ok,33,0.12718364147868763,0.05493672988546558,1.4181671506058113,1.283053741563608,2.142761024995707,15.4006907980166,7497.7529296875,7858.0
sintel,ambush_4,K6,k6,anchor_recent_dino_diverse_k6,6,ok,33,0.1285378274737663,0.05718026114396406,1.247331895335164,1.3104172091572677,2.082929820055142,15.843068586500134,7709.0419921875,8116.0
sintel,ambush_4,K8,k8,anchor_recent_dino_diverse_k8,8,ok,33,0.12289415672598906,0.07989135652899561,1.234785193135397,2.052571961115782,2.1971407479140908,15.019520270301006,7923.7158203125,8346.0
sintel,ambush_5,Full cache,full_cache,full_cache,,ok,50,0.09772607160506601,0.05487582449049828,0.5202019116447408,2.6801501232603453,4.775707966997288,10.469651901985403,10055.974609375,12724.0
sintel,ambush_5,K4,k4,anchor_recent_dino_diverse_k4,4,ok,50,0.18696621990312925,0.07036686661655428,1.0028280938981808,2.456601196166143,3.2257148349890485,15.500440230380672,7572.52587890625,8004.0
sintel,ambush_5,K6,k6,anchor_recent_dino_diverse_k6,6,ok,50,0.18320186908784605,0.05361266508156046,0.8459867734089415,2.1422049696101424,3.146684088045731,15.889742535626711,7784.64892578125,8172.0
sintel,ambush_5,K8,k8,anchor_recent_dino_diverse_k8,8,ok,50,0.15042998002599653,0.05951494435898649,0.8804207839532614,2.2505720716182225,4.064976664027199,12.300193613034097,7998.97900390625,8476.0
sintel,ambush_6,Full cache,full_cache,full_cache,,ok,20,0.2505991676467258,0.10178004116218035,1.970818144502591,3.5971935756129545,1.5117779319407418,13.229456243169949,8077.80224609375,8768.0
sintel,ambush_6,K4,k4,anchor_recent_dino_diverse_k4,4,ok,20,0.2539300568418404,0.12275392539526188,2.7049688136002223,2.0693687391817392,1.2546244750265032,15.941024902752286,7445.90966796875,7820.0
sintel,ambush_6,K6,k6,anchor_recent_dino_diverse_k6,6,ok,20,0.2681495853484107,0.09699117532561922,2.318755541593111,1.894125018417557,1.5433945870026946,12.958448972430588,7656.02490234375,8032.0
