task,dataset,sequence,method,method_id,cache_policy,cache_window_size,status,error,num_frames,accuracy,accuracy_median,completeness,completeness_median,normal_consistency,normal_consistency_median,overall,pose_status,pose_error,ate,rpe_trans,rpe_rot_deg,icp_fitness,icp_rmse,inference_sec,fps_inference,final_frame_ms,peak_allocated_mib,peak_reserved_mib
static,7scenes,chess/seq-03,K8,k8,anchor_recent_dino_diverse_k8,8,ok,,20,0.03619515188473662,0.024138529956000195,0.023850235483728388,0.009486722559187586,0.6940553925816915,0.8003995804906892,0.030022693684232504,ok,,0.05835610918832869,0.06151216835138246,1.925043961228565,0.9311069321055703,0.03778665692877533,2.075961590046063,9.634089617022358,88.8637466430664,9047.68896484375,10160.0
static,7scenes,chess/seq-05,Full cache,full_cache,full_cache,,ok,,8,0.03580605373977316,0.022007877688233535,0.0392946593146236,0.017010007791520336,0.7672352845803833,0.8901447982783242,0.037550356527198375,ok,,0.03592315900452,0.05381873265229899,2.1131759568366335,0.940841513650905,0.03518772990981297,0.6317104229237884,12.664030400152422,81.86396789550781,8044.9365234375,8950.0
static,7scenes,chess/seq-05,K4,k4,anchor_recent_dino_diverse_k4,4,ok,,8,0.03507834469588365,0.019968206871850767,0.039119369628209444,0.017209684566579557,0.764021379813977,0.8877315368005944,0.03709885716204654,ok,,0.035844658189661656,0.05430662349769144,2.1465920562222474,0.9343556904334107,0.03437802570403051,0.7378885289654136,10.841745990030125,77.90489959716797,8143.31396484375,8896.0
static,7scenes,chess/seq-05,K6,k6,anchor_recent_dino_diverse_k6,6,ok,,8,0.03658057947215804,0.023131860141568594,0.03961777331457595,0.01675309542144123,0.7676105801704747,0.8896398139060366,0.03809917639336699,ok,,0.03694164665819395,0.05478749671527932,2.1143722881543976,0.9422602874797318,0.035883700207631805,0.6455037188716233,12.39342201464687,85.12531280517578,8533.80029296875,9454.0
static,7scenes,chess/seq-05,K8,k8,anchor_recent_dino_diverse_k8,8,ok,,8,0.03580605373977316,0.022007877688233535,0.0392946593146236,0.017010007791520336,0.7672352845803833,0.8901447982783242,0.037550356527198375,ok,,0.03592315900452,0.05381873265229899,2.1131759568366335,0.940841513650905,0.03518772990981297,0.6643700809217989,12.041481441939974,86.38771057128906,8828.416015625,9666.0
static,7scenes,fire/seq-03,Full cache,full_cache,full_cache,,ok,,20,0.011349821931026112,0.00623130064949544,0.013738624313782645,0.006575765274160453,0.7284379934007001,0.8441894385866155,0.012544223122404378,ok,,0.028095757871133765,0.029635045827001424,1.397578205755813,0.9945486740634638,0.0167948254753959,2.546057797037065,7.855281220746319,133.66476440429688,9428.69287109375,10630.0
static,7scenes,fire/seq-03,K4,k4,anchor_recent_dino_diverse_k4,4,ok,,20,0.012518522214096951,0.007373086470865298,0.013769035743845272,0.0068318447544347015,0.7288071107260129,0.8448935522901887,0.01314377897897111,ok,,0.028249247765894565,0.032556741573855574,1.429282003712891,0.9951452258605205,0.01794479387882567,1.553030373994261,12.878048192040001,77.42668914794922,8259.46044921875,9046.0
static,7scenes,fire/seq-03,K6,k6,anchor_recent_dino_diverse_k6,6,ok,,20,0.012334148099576305,0.007044299257467424,0.013614087225453686,0.006743067723917825,0.7310591842228333,0.8449585577912712,0.012974117662514995,ok,,0.030156735300113934,0.03255467804231306,1.3943329899357104,0.9950272510648338,0.017868355033979846,1.6274651889689267,12.289049336084977,83.34950256347656,8649.32373046875,9630.0
static,7scenes,fire/seq-03,K8,k8,anchor_recent_dino_diverse_k8,8,ok,,20,0.01240003398365259,0.007252282643880551,0.013293552750545824,0.006439096831471784,0.7351175436386375,0.8495905898872982,0.012846793367099207,ok,,0.027887452463592925,0.030529610533764222,1.3786884855720387,0.9946811174661685,0.017746702188946605,2.3601757721044123,8.473945134250457,89.21395111083984,9047.54443359375,10040.0
static,7scenes,fire/seq-04,Full cache,full_cache,full_cache,,ok,,20,0.02820326059240868,0.021032046896052828,0.021490950170841176,0.016739991798833315,0.7426492421883575,0.8606089377172643,0.024847105381624927,ok,,0.039097838243923086,0.04537994122750772,1.6265692794931559,0.9807297697653904,0.03384064941266513,1.9420151920057833,10.298580609631214,134.38589477539062,9428.69287109375,10630.0
static,7scenes,fire/seq-04,K4,k4,anchor_recent_dino_diverse_k4,4,ok,,20,0.032418845402643365,0.022379536272707633,0.021104893248298888,0.012674044609216662,0.7343281588802517,0.8485955228513562,0.026761869325471126,ok,,0.053147219525635066,0.061455007593443384,1.6651924790720318,0.953844891825637,0.036337932299901315,1.977147252066061,10.115584450829642,78.24691009521484,8259.46044921875,9046.0
static,7scenes,fire/seq-04,K6,k6,anchor_recent_dino_diverse_k6,6,ok,,20,0.03136572853688427,0.019874644071110874,0.018355496117374248,0.009646224835700549,0.7302147151598549,0.8464646559427809,0.02486061232712926,ok,,0.05731469658862221,0.057115862844539476,1.7071338797505433,0.9394370986111739,0.034606927839424574,1.615353001980111,12.381194683443098,81.58233642578125,8649.32373046875,9630.0
static,7scenes,fire/seq-04,K8,k8,anchor_recent_dino_diverse_k8,8,ok,,20,0.027964357923039404,0.018849898305088895,0.018085896963113204,0.00908158707287506,0.7423623560118072,0.8589937080933845,0.023025127443076304,ok,,0.04976611224860282,0.05017615290446045,1.632015039044026,0.970435431829584,0.03358652599445774,1.7069768030196428,11.716620849574516,88.22476959228516,9047.54443359375,10040.0
static,7scenes,heads/seq-01,Full cache,full_cache,full_cache,,ok,,20,0.02553195992873232,0.0203379511230514,0.019051016553246234,0.014209108903624233,0.7722481754871129,0.8905148812270893,0.022291488240989275,ok,,0.0313650949583694,0.037444588824052216,1.778570502623052,0.9925360053924273,0.03187548602633654,1.929512003902346,10.365315146809637,132.75750732421875,9428.69287109375,10630.0
static,7scenes,heads/seq-01,K4,k4,anchor_recent_dino_diverse_k4,4,ok,,20,0.017689361082374733,0.01320289638629342,0.014278003102050565,0.008546498182555968,0.8014527623007935,0.9094156801991239,0.01598368209221265,ok,,0.0407075406856384,0.05115409257934817,1.677235007330357,0.9955557176316139,0.023366244728609542,1.549002488143742,12.911535102804864,76.82355499267578,8259.46044921875,9046.0
static,7scenes,heads/seq-01,K6,k6,anchor_recent_dino_diverse_k6,6,ok,,20,0.021637874649404913,0.01672373773973863,0.013965691340139225,0.009147121621662212,0.7988376979858878,0.9071652300325845,0.01780178299477207,ok,,0.03603982113152885,0.04293133308405214,1.7146453861599669,0.9943852409358638,0.02748930581647435,1.6247376899700612,12.3096793552986,81.80633544921875,8649.32373046875,9630.0
static,7scenes,heads/seq-01,K8,k8,anchor_recent_dino_diverse_k8,8,ok,,20,0.027329197787216437,0.02214331031206773,0.018920045776838205,0.012953927293237634,0.7807180422640532,0.8969746643967883,0.023124621782027323,ok,,0.03791821323277667,0.04273146421813352,2.0378220056486502,0.9922572084307261,0.03372354264117591,1.7127528011333197,11.677108329214876,88.48588562011719,9047.54443359375,10040.0
static,7scenes,office/seq-02,Full cache,full_cache,full_cache,,ok,,20,0.03608744581362635,0.024891002889205708,0.032313208842510446,0.019556301760544084,0.7386018480229828,0.8569196228930096,0.034200327328068394,ok,,0.12092245794568113,0.10764703234999973,2.7758127644580686,0.934785083364234,0.03809750787103663,2.484473975840956,8.04999375903316,353.4468994140625,9428.69287109375,10630.0
static,7scenes,office/seq-02,K4,k4,anchor_recent_dino_diverse_k4,4,ok,,20,0.16497344071260794,0.070676311976504,0.09875125976780522,0.047663746103421785,0.6545578665165646,0.75602357941868,0.1318623502402066,ok,,0.21516493121798283,0.316217230336041,49.28137094769185,0.5939412860622304,0.04631109077482822,1.556377651868388,12.850351568586555,78.83878326416016,8259.46044921875,9046.0
static,7scenes,office/seq-02,K6,k6,anchor_recent_dino_diverse_k6,6,ok,,20,0.0851995802984587,0.04060714690871389,0.050235937437649036,0.028484649968620986,0.7010301236201992,0.8213627298873651,0.06771775886805387,ok,,0.19862396648553243,0.274463946926979,3.9767306603493786,0.7692806207037242,0.041797636136728905,1.6131425308994949,12.398160495370435,81.9056625366211,8649.32373046875,9630.0
static,7scenes,office/seq-02,K8,k8,anchor_recent_dino_diverse_k8,8,ok,,20,0.046850275227697295,0.03529070480338778,0.038819566517023375,0.026445378582233996,0.7242660503539763,0.8426252301812158,0.042834920872360335,ok,,0.1262141095054783,0.11521095175679312,2.846350913623282,0.8921545312431318,0.04383032805499037,1.709484385093674,11.699434153593668,88.81049346923828,9047.54443359375,10040.0
